name,status,timestamp,description,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_micro_precision,test_micro_recall,test_micro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_num_samples,test_num_classes
Logistic Regression classifier,Completed,2025-07-14T07:14:50.695287,"
multiclass Logistic Regression with TF-IDF and no hyperparameter tuning. 
Dataset has full_process preprocessing and is oversampled
",0.45079735511474134,0.4513080442374242,0.45079735511474134,0.45015704796928563,0.45079735511474134,0.45079735511474134,0.45079735511474134,0.4513080442374242,0.45079735511474134,0.4501570479692857,2571,3
Ridge classifier,Completed,2025-07-14T07:14:54.920620,"
multiclass Ridge with TF-IDF and no hyperparameter tuning. 
Dataset has full_process preprocessing and is oversampled
",0.44224037339556593,0.4440726441205818,0.44224037339556593,0.4427926073632715,0.44224037339556593,0.44224037339556593,0.44224037339556593,0.44407264412058184,0.44224037339556593,0.4427926073632715,2571,3
LinearSVC classifier,Completed,2025-07-14T07:15:00.199263,"
multiclass LinearSVC with TF-IDF and no hyperparameter tuning. 
Dataset has full_process preprocessing and is oversampled
",0.43562816024893036,0.4387480931982233,0.4356281602489303,0.4354568563032193,0.43562816024893036,0.43562816024893036,0.43562816024893036,0.4387480931982233,0.43562816024893036,0.43545685630321923,2571,3
