name,status,timestamp,description,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_micro_precision,test_micro_recall,test_micro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_num_samples,test_num_classes
LogReg meta stack,Completed,2025-07-14T22:26:27.983468,Stack ensemble classifier with LogisticRegression classifier,0.6394399066511085,0.6395014473012088,0.6394399066511085,0.6394001372608829,0.6394399066511085,0.6394399066511085,0.6394399066511085,0.6395014473012088,0.6394399066511085,0.6394001372608827,1714,2
Ridge meta stack,Completed,2025-07-14T22:26:58.080323,Stack ensemble classifier with Ridge classifier,0.6376896149358227,0.6377723403559634,0.6376896149358227,0.6376352194406192,0.6376896149358227,0.6376896149358227,0.6376896149358227,0.6377723403559633,0.6376896149358227,0.6376352194406193,1714,2
Random forest meta stack,Completed,2025-07-14T22:27:30.279634,Stack ensemble classifier with random forest classifier,0.6126021003500584,0.6137475534795951,0.6126021003500584,0.6116243516243516,0.6126021003500584,0.6126021003500584,0.6126021003500584,0.613747553479595,0.6126021003500584,0.6116243516243516,1714,2
EBM meta stack,Completed,2025-07-14T22:28:06.178955,Stack ensemble classifier with EBM classifier,0.6301050175029171,0.6301227345580915,0.6301050175029171,0.6300924261734366,0.6301050175029171,0.6301050175029171,0.6301050175029171,0.6301227345580915,0.6301050175029171,0.6300924261734366,1714,2
