name,status,timestamp,description,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_micro_precision,test_micro_recall,test_micro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_num_samples,test_num_classes
Logistic Regression classifier,Completed,2025-07-14T07:12:07.072027,"
binary Logistic Regression with TF-IDF and no hyperparameter tuning. 
Dataset has cleaned_only preprocessing and is undersampled
",0.6003500583430572,0.6006527914345023,0.6003500583430572,0.6000493257396221,0.6003500583430572,0.6003500583430572,0.6003500583430572,0.6006527914345023,0.6003500583430572,0.6000493257396221,1714,2
Ridge classifier,Completed,2025-07-14T07:12:09.614705,"
binary Ridge with TF-IDF and no hyperparameter tuning. 
Dataset has cleaned_only preprocessing and is undersampled
",0.6009334889148191,0.6013064660503318,0.6009334889148191,0.600565842569841,0.6009334889148191,0.6009334889148191,0.6009334889148191,0.6013064660503317,0.6009334889148191,0.6005658425698411,1714,2
LinearSVC classifier,Completed,2025-07-14T07:12:12.391187,"
binary LinearSVC with TF-IDF and no hyperparameter tuning. 
Dataset has cleaned_only preprocessing and is undersampled
",0.5980163360560093,0.5981447549244159,0.5980163360560093,0.5978847977499587,0.5980163360560093,0.5980163360560093,0.5980163360560093,0.5981447549244159,0.5980163360560093,0.5978847977499587,1714,2
