name,status,timestamp,description,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_micro_precision,test_micro_recall,test_micro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_num_samples,test_num_classes
MultinomialNB classifier,Completed,2025-07-14T07:13:32.428837,"
binary MultinomialNB with TF-IDF and no hyperparameter tuning. 
Dataset has full_process preprocessing and is undersampled
",0.582039911308204,0.5834195673800346,0.582039911308204,0.5803046011058453,0.582039911308204,0.582039911308204,0.582039911308204,0.5834195673800346,0.582039911308204,0.5803046011058451,1804,2
BernoulliNB classifier,Completed,2025-07-14T07:13:35.712388,"
binary BernoulliNB with TF-IDF and no hyperparameter tuning. 
Dataset has full_process preprocessing and is undersampled
",0.5831485587583148,0.5835181060834267,0.583148558758315,0.5826869315273457,0.5831485587583148,0.5831485587583148,0.5831485587583148,0.5835181060834268,0.5831485587583148,0.5826869315273457,1804,2
ComplementNB classifier,Completed,2025-07-14T07:13:39.145888,"
binary ComplementNB with TF-IDF and no hyperparameter tuning. 
Dataset has full_process preprocessing and is undersampled
",0.582039911308204,0.5834195673800346,0.582039911308204,0.5803046011058453,0.582039911308204,0.582039911308204,0.582039911308204,0.5834195673800346,0.582039911308204,0.5803046011058451,1804,2
