name,status,timestamp,description,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_micro_precision,test_micro_recall,test_micro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_num_samples,test_num_classes
Baseline optimization EBM chi2 stack,Completed,2025-07-16T02:22:33.214350,No hyperparameter tuning yet but parameters are changed from defaults,0.6855309218203034,0.6880402623066648,0.6855309218203034,0.6844782863358715,0.6855309218203034,0.6855309218203034,0.6855309218203034,0.6880402623066647,0.6855309218203034,0.6844782863358715,1714,2
L1 Regularization optimization EBM chi2 stack,Completed,2025-07-16T02:54:24.744163,L1 focused hyperparameter tuning,0.6744457409568262,0.6757561665521219,0.6744457409568261,0.673837780324112,0.6744457409568262,0.6744457409568262,0.6744457409568262,0.675756166552122,0.6744457409568262,0.6738377803241119,1714,2
L1 Regularization optimization EBM chi2 stack,Completed,2025-07-16T03:11:30.387340,L1 focused hyperparameter tuning,0.6866977829638273,0.6894341290893015,0.6866977829638272,0.6855622821500642,0.6866977829638273,0.6866977829638273,0.6866977829638273,0.6894341290893015,0.6866977829638273,0.6855622821500642,1714,2
L2 Regularization optimization EBM chi2 stack,Completed,2025-07-16T04:29:34.834919,L2 focused hyperparameter tuning,0.6680280046674446,0.6694680640696065,0.6680280046674445,0.6673212680642184,0.6680280046674446,0.6680280046674446,0.6680280046674446,0.6694680640696066,0.6680280046674446,0.6673212680642183,1714,2
ElasticNet Regularization optimization EBM chi2 stack,Completed,2025-07-16T04:49:40.700575,ElasticNet focused hyperparameter tuning,0.6691948658109685,0.6692965199289381,0.6691948658109685,0.6691452003588263,0.6691948658109685,0.6691948658109685,0.6691948658109685,0.6692965199289381,0.6691948658109685,0.6691452003588262,1714,2
