name,status,timestamp,description,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_micro_precision,test_micro_recall,test_micro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_num_samples,test_num_classes
Random Forest classifier,Completed,2025-07-14T07:15:13.036095,"
multiclass Random Forest with TF-IDF and no hyperparameter tuning. 
Dataset has full_process preprocessing and is undersampled
",0.43912874367950216,0.4486932634727201,0.43912874367950216,0.4260140457689124,0.43912874367950216,0.43912874367950216,0.43912874367950216,0.44869326347272004,0.43912874367950216,0.4260140457689124,2571,3
ExtraTrees classifier,Completed,2025-07-14T07:15:18.528173,"
multiclass ExtraTrees with TF-IDF and no hyperparameter tuning. 
Dataset has full_process preprocessing and is undersampled
",0.4515752625437573,0.4924488023773635,0.4515752625437573,0.43157149179612647,0.4515752625437573,0.4515752625437573,0.4515752625437573,0.4924488023773635,0.4515752625437573,0.4315714917961265,2571,3
