name,status,timestamp,description,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_micro_precision,test_micro_recall,test_micro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_num_samples,test_num_classes
Random Forest classifier,Completed,2025-07-14T07:15:04.014923,"
multiclass Random Forest with TF-IDF and no hyperparameter tuning. 
Dataset has cleaned_only preprocessing and is undersampled
",0.44594594594594594,0.4511431294970442,0.4459459459459459,0.4453454222695072,0.44594594594594594,0.44594594594594594,0.44594594594594594,0.45114312949704416,0.44594594594594594,0.44534542226950724,1332,3
ExtraTrees classifier,Completed,2025-07-14T07:15:07.633184,"
multiclass ExtraTrees with TF-IDF and no hyperparameter tuning. 
Dataset has cleaned_only preprocessing and is undersampled
",0.4466966966966967,0.4558847784871343,0.4466966966966967,0.4445591486298346,0.4466966966966967,0.4466966966966967,0.4466966966966967,0.4558847784871344,0.4466966966966967,0.4445591486298346,1332,3
